step,without Zealots_mean_opinion,without Zealots_mean_abs_opinion,without Zealots_non_zealot_variance,without Zealots_cluster_variance,without Zealots_negative_count,without Zealots_negative_mean,without Zealots_positive_count,without Zealots_positive_mean,without Zealots_polarization_index,without Zealots_identity_1_mean_opinion,without Zealots_identity_neg1_mean_opinion,without Zealots_identity_opinion_difference
0,0.0002,0.0518,0.0035,0.0033,251.8,-0.0512,248.2,0.0523,0.0000,0.0012,-0.0011,0.0023
1,0.0002,0.0487,0.0031,0.0029,250.5,-0.0484,249.5,0.0489,0.0000,0.0012,-0.0010,0.0023
2,0.0002,0.0458,0.0028,0.0026,250.8,-0.0455,249.2,0.0462,0.0000,0.0012,-0.0010,0.0023
3,0.0002,0.0432,0.0025,0.0023,250.2,-0.0430,249.8,0.0435,0.0000,0.0013,-0.0010,0.0022
4,0.0003,0.0408,0.0022,0.0020,250.2,-0.0405,249.8,0.0411,0.0000,0.0013,-0.0009,0.0022
5,0.0003,0.0386,0.0020,0.0018,250.5,-0.0382,249.5,0.0389,0.0000,0.0013,-0.0009,0.0022
6,0.0003,0.0366,0.0018,0.0016,250.4,-0.0362,249.6,0.0369,0.0000,0.0013,-0.0008,0.0021
7,0.0003,0.0347,0.0016,0.0014,250.3,-0.0343,249.7,0.0351,0.0000,0.0013,-0.0008,0.0021
8,0.0004,0.0330,0.0015,0.0013,250.4,-0.0325,249.6,0.0334,0.0000,0.0013,-0.0007,0.0020
9,0.0004,0.0314,0.0013,0.0012,249.4,-0.0310,250.6,0.0317,0.0000,0.0013,-0.0006,0.0019
10,0.0005,0.0300,0.0012,0.0011,249.2,-0.0296,250.8,0.0303,0.0000,0.0013,-0.0005,0.0018
11,0.0005,0.0287,0.0011,0.0010,248.7,-0.0282,251.3,0.0290,0.0000,0.0014,-0.0004,0.0018
12,0.0006,0.0275,0.0010,0.0009,247.6,-0.0271,252.4,0.0277,0.0000,0.0014,-0.0003,0.0017
13,0.0007,0.0264,0.0010,0.0008,247.5,-0.0259,252.5,0.0267,0.0000,0.0014,-0.0001,0.0015
14,0.0007,0.0254,0.0009,0.0007,246.9,-0.0249,253.1,0.0257,0.0000,0.0014,0.0000,0.0014
15,0.0008,0.0245,0.0009,0.0007,246.8,-0.0239,253.2,0.0248,0.0000,0.0014,0.0002,0.0013
16,0.0009,0.0237,0.0008,0.0006,246.6,-0.0230,253.4,0.0241,0.0000,0.0015,0.0004,0.0011
17,0.0010,0.0230,0.0008,0.0006,245.7,-0.0223,254.3,0.0234,0.0000,0.0015,0.0006,0.0009
18,0.0011,0.0224,0.0008,0.0005,244.9,-0.0216,255.1,0.0228,0.0000,0.0015,0.0008,0.0007
19,0.0012,0.0219,0.0008,0.0005,243.4,-0.0210,256.6,0.0222,0.0000,0.0016,0.0011,0.0005
20,0.0014,0.0214,0.0007,0.0005,242.9,-0.0204,257.1,0.0218,0.0000,0.0016,0.0013,0.0003
21,0.0015,0.0210,0.0008,0.0004,242.7,-0.0199,257.3,0.0214,0.0000,0.0016,0.0016,-0.0000
22,0.0017,0.0207,0.0008,0.0004,241.2,-0.0195,258.8,0.0211,0.0000,0.0017,0.0020,-0.0003
23,0.0019,0.0204,0.0008,0.0004,241.4,-0.0190,258.6,0.0210,0.0000,0.0017,0.0023,-0.0006
24,0.0021,0.0203,0.0008,0.0004,239.9,-0.0187,260.1,0.0208,0.0000,0.0017,0.0027,-0.0010
25,0.0023,0.0201,0.0009,0.0004,239.0,-0.0184,261.0,0.0207,0.0000,0.0018,0.0031,-0.0014
26,0.0025,0.0200,0.0009,0.0003,238.6,-0.0180,261.4,0.0207,0.0000,0.0018,0.0036,-0.0018
27,0.0027,0.0200,0.0010,0.0003,238.0,-0.0178,262.0,0.0207,0.0000,0.0019,0.0041,-0.0022
28,0.0029,0.0200,0.0011,0.0003,237.3,-0.0176,262.7,0.0207,0.0000,0.0019,0.0046,-0.0026
29,0.0032,0.0200,0.0012,0.0003,237.8,-0.0173,262.2,0.0209,0.0000,0.0020,0.0051,-0.0031
30,0.0034,0.0201,0.0013,0.0003,237.4,-0.0171,262.6,0.0211,0.0000,0.0020,0.0056,-0.0035
31,0.0037,0.0203,0.0014,0.0003,238.8,-0.0168,261.2,0.0214,0.0000,0.0021,0.0061,-0.0040
32,0.0040,0.0205,0.0015,0.0003,237.8,-0.0168,262.2,0.0217,0.0000,0.0022,0.0067,-0.0045
33,0.0042,0.0207,0.0016,0.0003,237.7,-0.0166,262.3,0.0219,0.0000,0.0022,0.0072,-0.0050
34,0.0045,0.0209,0.0018,0.0003,237.9,-0.0165,262.1,0.0223,0.0000,0.0023,0.0078,-0.0055
35,0.0048,0.0212,0.0019,0.0003,239.0,-0.0164,261.0,0.0227,0.0000,0.0024,0.0084,-0.0060
36,0.0051,0.0215,0.0021,0.0003,239.1,-0.0163,260.9,0.0231,0.0000,0.0024,0.0089,-0.0065
37,0.0054,0.0218,0.0023,0.0003,238.4,-0.0164,261.6,0.0235,0.0000,0.0025,0.0095,-0.0070
38,0.0057,0.0222,0.0024,0.0004,238.3,-0.0164,261.7,0.0239,0.0000,0.0026,0.0101,-0.0075
39,0.0060,0.0226,0.0026,0.0004,237.7,-0.0165,262.3,0.0243,0.0000,0.0027,0.0106,-0.0080
40,0.0062,0.0230,0.0028,0.0004,237.9,-0.0165,262.1,0.0248,0.0000,0.0028,0.0112,-0.0084
41,0.0065,0.0234,0.0030,0.0004,237.8,-0.0165,262.2,0.0253,0.0000,0.0028,0.0118,-0.0089
42,0.0068,0.0238,0.0032,0.0004,236.3,-0.0167,263.7,0.0256,0.0000,0.0029,0.0123,-0.0094
43,0.0071,0.0243,0.0034,0.0004,235.4,-0.0169,264.6,0.0260,0.0000,0.0030,0.0129,-0.0099
44,0.0074,0.0248,0.0036,0.0004,234.3,-0.0171,265.7,0.0264,0.0000,0.0031,0.0134,-0.0103
45,0.0077,0.0253,0.0039,0.0004,233.7,-0.0172,266.3,0.0269,0.0001,0.0032,0.0140,-0.0108
46,0.0080,0.0258,0.0041,0.0004,232.3,-0.0175,267.7,0.0274,0.0002,0.0033,0.0145,-0.0112
47,0.0083,0.0264,0.0043,0.0005,232.0,-0.0176,268.0,0.0279,0.0003,0.0034,0.0150,-0.0116
48,0.0086,0.0269,0.0045,0.0005,231.5,-0.0178,268.5,0.0285,0.0003,0.0035,0.0156,-0.0121
49,0.0089,0.0275,0.0048,0.0005,230.2,-0.0181,269.8,0.0290,0.0003,0.0036,0.0161,-0.0125
50,0.0092,0.0281,0.0050,0.0005,229.8,-0.0183,270.2,0.0296,0.0003,0.0037,0.0167,-0.0130
51,0.0095,0.0287,0.0052,0.0005,228.8,-0.0186,271.2,0.0302,0.0003,0.0038,0.0172,-0.0134
52,0.0099,0.0293,0.0055,0.0005,227.7,-0.0189,272.3,0.0308,0.0003,0.0039,0.0177,-0.0138
53,0.0102,0.0300,0.0057,0.0006,227.5,-0.0192,272.5,0.0315,0.0003,0.0040,0.0183,-0.0142
54,0.0105,0.0307,0.0060,0.0006,226.5,-0.0195,273.5,0.0321,0.0006,0.0041,0.0188,-0.0147
55,0.0108,0.0314,0.0062,0.0006,225.9,-0.0198,274.1,0.0328,0.0006,0.0043,0.0194,-0.0151
56,0.0112,0.0321,0.0064,0.0006,224.7,-0.0202,275.3,0.0335,0.0006,0.0044,0.0199,-0.0155
57,0.0115,0.0328,0.0067,0.0006,224.4,-0.0205,275.6,0.0343,0.0006,0.0045,0.0205,-0.0160
58,0.0119,0.0336,0.0070,0.0007,224.5,-0.0207,275.5,0.0352,0.0006,0.0046,0.0210,-0.0164
59,0.0122,0.0343,0.0072,0.0007,224.0,-0.0211,276.0,0.0360,0.0010,0.0047,0.0216,-0.0168
60,0.0126,0.0351,0.0075,0.0007,224.0,-0.0214,276.0,0.0369,0.0013,0.0049,0.0222,-0.0173
61,0.0130,0.0359,0.0077,0.0008,223.7,-0.0217,276.3,0.0378,0.0020,0.0050,0.0227,-0.0177
62,0.0133,0.0368,0.0080,0.0008,223.2,-0.0221,276.8,0.0386,0.0035,0.0051,0.0233,-0.0182
63,0.0137,0.0376,0.0083,0.0008,222.5,-0.0225,277.5,0.0395,0.0052,0.0053,0.0239,-0.0186
64,0.0141,0.0385,0.0086,0.0008,222.4,-0.0228,277.6,0.0404,0.0095,0.0054,0.0245,-0.0191
65,0.0145,0.0394,0.0089,0.0009,221.3,-0.0233,278.7,0.0413,0.0095,0.0055,0.0251,-0.0195
66,0.0149,0.0403,0.0092,0.0009,220.2,-0.0238,279.8,0.0422,0.0113,0.0057,0.0257,-0.0200
67,0.0153,0.0413,0.0095,0.0009,219.5,-0.0242,280.5,0.0432,0.0157,0.0058,0.0263,-0.0204
68,0.0157,0.0422,0.0098,0.0010,219.2,-0.0246,280.8,0.0442,0.0195,0.0060,0.0269,-0.0209
69,0.0161,0.0432,0.0101,0.0010,219.5,-0.0249,280.5,0.0454,0.0263,0.0062,0.0275,-0.0213
70,0.0165,0.0442,0.0104,0.0011,218.0,-0.0255,282.0,0.0463,0.0316,0.0063,0.0281,-0.0218
71,0.0169,0.0452,0.0108,0.0011,216.9,-0.0260,283.1,0.0474,0.0484,0.0065,0.0287,-0.0222
72,0.0174,0.0462,0.0111,0.0011,217.0,-0.0264,283.0,0.0486,0.0602,0.0067,0.0293,-0.0227
73,0.0178,0.0473,0.0115,0.0012,216.3,-0.0269,283.7,0.0496,0.0729,0.0068,0.0299,-0.0231
74,0.0182,0.0483,0.0118,0.0012,215.7,-0.0275,284.3,0.0504,0.0793,0.0070,0.0305,-0.0235
75,0.0186,0.0494,0.0122,0.0013,214.5,-0.0281,285.5,0.0513,0.0973,0.0072,0.0312,-0.0239
76,0.0191,0.0505,0.0126,0.0013,214.2,-0.0286,285.8,0.0525,0.1024,0.0074,0.0318,-0.0243
77,0.0195,0.0516,0.0129,0.0014,213.6,-0.0291,286.4,0.0534,0.1103,0.0076,0.0324,-0.0247
78,0.0200,0.0527,0.0133,0.0014,213.1,-0.0296,286.9,0.0546,0.1127,0.0079,0.0330,-0.0251
79,0.0204,0.0538,0.0137,0.0015,212.8,-0.0302,287.2,0.0557,0.1344,0.0081,0.0336,-0.0255
80,0.0209,0.0550,0.0141,0.0015,211.8,-0.0308,288.2,0.0566,0.1501,0.0083,0.0342,-0.0258
81,0.0213,0.0561,0.0145,0.0016,211.7,-0.0313,288.3,0.0577,0.1613,0.0086,0.0348,-0.0262
82,0.0218,0.0573,0.0149,0.0016,211.6,-0.0318,288.4,0.0589,0.1695,0.0089,0.0354,-0.0265
83,0.0222,0.0584,0.0153,0.0017,211.3,-0.0323,288.7,0.0600,0.1788,0.0091,0.0359,-0.0268
84,0.0227,0.0596,0.0158,0.0017,211.4,-0.0327,288.6,0.0613,0.1799,0.0094,0.0365,-0.0271
85,0.0232,0.0608,0.0162,0.0018,211.1,-0.0331,288.9,0.0625,0.1925,0.0098,0.0371,-0.0274
86,0.0237,0.0620,0.0166,0.0018,211.0,-0.0336,289.0,0.0637,0.1959,0.0101,0.0377,-0.0276
87,0.0241,0.0632,0.0171,0.0019,210.6,-0.0341,289.4,0.0648,0.2047,0.0104,0.0382,-0.0278
88,0.0246,0.0644,0.0175,0.0019,210.4,-0.0346,289.6,0.0660,0.2155,0.0108,0.0388,-0.0280
89,0.0251,0.0656,0.0180,0.0020,210.2,-0.0351,289.8,0.0672,0.2206,0.0111,0.0394,-0.0282
90,0.0256,0.0668,0.0184,0.0021,210.1,-0.0355,289.9,0.0685,0.2259,0.0115,0.0399,-0.0284
91,0.0261,0.0680,0.0189,0.0021,209.4,-0.0361,290.6,0.0697,0.2346,0.0119,0.0405,-0.0285
92,0.0266,0.0692,0.0193,0.0022,208.5,-0.0367,291.5,0.0707,0.2383,0.0123,0.0410,-0.0287
93,0.0271,0.0704,0.0198,0.0022,208.4,-0.0372,291.6,0.0719,0.2552,0.0128,0.0415,-0.0288
94,0.0276,0.0717,0.0202,0.0023,208.0,-0.0378,292.0,0.0731,0.2690,0.0132,0.0421,-0.0289
95,0.0281,0.0729,0.0207,0.0024,208.7,-0.0381,291.3,0.0746,0.2796,0.0137,0.0426,-0.0289
96,0.0286,0.0741,0.0211,0.0024,208.7,-0.0385,291.3,0.0758,0.2942,0.0141,0.0431,-0.0290
97,0.0291,0.0754,0.0216,0.0025,208.6,-0.0390,291.4,0.0770,0.3029,0.0146,0.0436,-0.0290
98,0.0297,0.0766,0.0221,0.0025,208.7,-0.0394,291.3,0.0784,0.3070,0.0151,0.0441,-0.0290
99,0.0302,0.0778,0.0225,0.0026,208.7,-0.0399,291.3,0.0796,0.3181,0.0156,0.0446,-0.0290
100,0.0307,0.0791,0.0230,0.0027,208.7,-0.0403,291.3,0.0810,0.3268,0.0162,0.0451,-0.0289
101,0.0312,0.0803,0.0235,0.0027,208.1,-0.0408,291.9,0.0821,0.3369,0.0167,0.0456,-0.0289
102,0.0318,0.0816,0.0239,0.0028,207.7,-0.0413,292.3,0.0832,0.3520,0.0173,0.0460,-0.0288
103,0.0323,0.0828,0.0244,0.0029,207.2,-0.0418,292.8,0.0843,0.3601,0.0178,0.0465,-0.0287
104,0.0328,0.0840,0.0249,0.0029,207.5,-0.0422,292.5,0.0856,0.3708,0.0184,0.0470,-0.0285
105,0.0334,0.0853,0.0253,0.0030,207.2,-0.0426,292.8,0.0868,0.3890,0.0190,0.0474,-0.0284
106,0.0339,0.0865,0.0258,0.0031,207.1,-0.0431,292.9,0.0881,0.3899,0.0196,0.0479,-0.0282
107,0.0345,0.0878,0.0262,0.0031,206.7,-0.0436,293.3,0.0893,0.3955,0.0202,0.0483,-0.0281
108,0.0350,0.0890,0.0267,0.0032,206.5,-0.0441,293.5,0.0905,0.4020,0.0208,0.0487,-0.0279
109,0.0355,0.0902,0.0271,0.0033,206.2,-0.0447,293.8,0.0917,0.4180,0.0215,0.0491,-0.0277
110,0.0361,0.0915,0.0276,0.0033,206.2,-0.0451,293.8,0.0929,0.4273,0.0221,0.0496,-0.0275
111,0.0366,0.0927,0.0280,0.0034,205.5,-0.0457,294.5,0.0940,0.4710,0.0228,0.0500,-0.0272
112,0.0371,0.0939,0.0285,0.0035,205.2,-0.0463,294.8,0.0950,0.4809,0.0234,0.0504,-0.0270
113,0.0377,0.0951,0.0289,0.0035,205.2,-0.0467,294.8,0.0962,0.4857,0.0241,0.0508,-0.0267
114,0.0382,0.0964,0.0294,0.0036,205.2,-0.0471,294.8,0.0975,0.4962,0.0247,0.0512,-0.0264
115,0.0387,0.0976,0.0298,0.0037,205.6,-0.0474,294.4,0.0988,0.5055,0.0254,0.0515,-0.0261
116,0.0393,0.0988,0.0303,0.0037,205.3,-0.0478,294.7,0.1001,0.5149,0.0261,0.0519,-0.0258
117,0.0398,0.1000,0.0307,0.0038,204.7,-0.0483,295.3,0.1012,0.5333,0.0268,0.0523,-0.0255
118,0.0403,0.1012,0.0311,0.0039,204.6,-0.0487,295.4,0.1023,0.5531,0.0274,0.0527,-0.0252
119,0.0409,0.1024,0.0316,0.0039,204.3,-0.0491,295.7,0.1034,0.5599,0.0281,0.0530,-0.0249
120,0.0414,0.1036,0.0320,0.0040,204.3,-0.0495,295.7,0.1047,0.5666,0.0288,0.0534,-0.0246
121,0.0419,0.1048,0.0324,0.0041,203.5,-0.0500,296.5,0.1057,0.5811,0.0295,0.0537,-0.0242
122,0.0424,0.1060,0.0328,0.0041,203.0,-0.0506,297.0,0.1067,0.5956,0.0302,0.0541,-0.0239
123,0.0429,0.1072,0.0332,0.0042,202.6,-0.0510,297.4,0.1076,0.6183,0.0309,0.0544,-0.0235
124,0.0434,0.1084,0.0337,0.0043,202.3,-0.0515,297.7,0.1087,0.6262,0.0316,0.0547,-0.0232
125,0.0439,0.1096,0.0341,0.0043,202.2,-0.0518,297.8,0.1098,0.6299,0.0322,0.0551,-0.0228
126,0.0444,0.1107,0.0345,0.0044,202.4,-0.0522,297.6,0.1111,0.6622,0.0329,0.0554,-0.0225
127,0.0449,0.1119,0.0349,0.0045,201.9,-0.0526,298.1,0.1122,0.6983,0.0336,0.0557,-0.0221
128,0.0454,0.1131,0.0353,0.0045,201.1,-0.0530,298.9,0.1131,0.7208,0.0343,0.0560,-0.0217
129,0.0459,0.1142,0.0357,0.0046,200.1,-0.0536,299.9,0.1138,0.7459,0.0350,0.0563,-0.0214
130,0.0464,0.1154,0.0361,0.0047,199.3,-0.0541,300.7,0.1147,0.7472,0.0357,0.0567,-0.0210
131,0.0469,0.1165,0.0365,0.0047,199.0,-0.0546,301.0,0.1157,0.7646,0.0363,0.0570,-0.0206
132,0.0474,0.1177,0.0369,0.0048,198.2,-0.0553,301.8,0.1164,0.7685,0.0370,0.0573,-0.0203
133,0.0478,0.1188,0.0372,0.0049,197.6,-0.0558,302.4,0.1172,0.7795,0.0377,0.0575,-0.0199
134,0.0483,0.1200,0.0376,0.0049,197.5,-0.0562,302.5,0.1183,0.7983,0.0383,0.0578,-0.0195
135,0.0488,0.1211,0.0380,0.0050,197.2,-0.0566,302.8,0.1193,0.8206,0.0390,0.0581,-0.0191
136,0.0492,0.1222,0.0384,0.0051,197.4,-0.0568,302.6,0.1203,0.8247,0.0396,0.0584,-0.0188
137,0.0497,0.1233,0.0387,0.0051,196.9,-0.0574,303.1,0.1212,0.8307,0.0403,0.0587,-0.0184
138,0.0501,0.1245,0.0391,0.0052,196.6,-0.0578,303.4,0.1222,0.8406,0.0409,0.0590,-0.0180
139,0.0505,0.1256,0.0395,0.0052,196.5,-0.0582,303.5,0.1231,0.8551,0.0415,0.0592,-0.0177
140,0.0510,0.1267,0.0398,0.0053,195.8,-0.0588,304.2,0.1240,0.8808,0.0422,0.0595,-0.0173
141,0.0514,0.1278,0.0402,0.0054,195.7,-0.0592,304.3,0.1250,0.8842,0.0428,0.0598,-0.0170
142,0.0518,0.1288,0.0405,0.0054,195.8,-0.0596,304.2,0.1261,0.9018,0.0434,0.0600,-0.0166
143,0.0522,0.1299,0.0409,0.0055,195.6,-0.0601,304.4,0.1270,0.9087,0.0440,0.0603,-0.0163
144,0.0526,0.1310,0.0412,0.0056,195.7,-0.0604,304.3,0.1281,0.9219,0.0446,0.0605,-0.0159
145,0.0530,0.1321,0.0415,0.0056,195.2,-0.0609,304.8,0.1289,0.9305,0.0452,0.0608,-0.0156
146,0.0534,0.1331,0.0419,0.0057,195.1,-0.0613,304.9,0.1297,0.9395,0.0458,0.0610,-0.0152
