step,community_0,community_1,community_2,community_4,community_6,community_7,community_8,community_9,community_11,community_12,community_13,community_15,community_16,community_17,community_20,community_22,community_26,community_28,community_29,community_30,community_31,community_38,community_40,community_58
0,0.0038,0.0038,0.0032,0.0014,0.0036,0.0039,0.0031,0.0039,0.0003,0.0029,0.0029,0.0040,0.0034,0.0038,0.0049,0.0036,0.0021,0.0039,0.0032,0.0043,0.0033,0.0024,0.0043,0.0039
1,0.0034,0.0035,0.0034,0.0013,0.0040,0.0031,0.0033,0.0034,0.0002,0.0019,0.0027,0.0033,0.0031,0.0033,0.0040,0.0032,0.0017,0.0038,0.0028,0.0038,0.0041,0.0021,0.0046,0.0030
2,0.0033,0.0037,0.0040,0.0012,0.0050,0.0027,0.0038,0.0034,0.0005,0.0016,0.0030,0.0030,0.0032,0.0031,0.0033,0.0032,0.0019,0.0041,0.0027,0.0036,0.0054,0.0024,0.0053,0.0034
3,0.0035,0.0041,0.0047,0.0012,0.0066,0.0028,0.0044,0.0037,0.0011,0.0019,0.0039,0.0030,0.0036,0.0030,0.0028,0.0036,0.0023,0.0047,0.0028,0.0038,0.0073,0.0030,0.0064,0.0041
4,0.0038,0.0046,0.0056,0.0014,0.0089,0.0031,0.0051,0.0043,0.0019,0.0024,0.0051,0.0035,0.0041,0.0037,0.0023,0.0041,0.0028,0.0056,0.0034,0.0043,0.0094,0.0039,0.0084,0.0050
5,0.0043,0.0052,0.0066,0.0016,0.0116,0.0037,0.0059,0.0051,0.0029,0.0031,0.0065,0.0040,0.0051,0.0046,0.0021,0.0049,0.0037,0.0068,0.0043,0.0050,0.0116,0.0050,0.0108,0.0062
6,0.0048,0.0060,0.0077,0.0019,0.0148,0.0043,0.0068,0.0062,0.0041,0.0038,0.0079,0.0047,0.0064,0.0056,0.0019,0.0061,0.0049,0.0081,0.0054,0.0062,0.0140,0.0065,0.0136,0.0082
7,0.0053,0.0069,0.0089,0.0022,0.0182,0.0051,0.0076,0.0074,0.0054,0.0047,0.0094,0.0056,0.0079,0.0066,0.0018,0.0074,0.0061,0.0096,0.0066,0.0077,0.0164,0.0080,0.0166,0.0103
8,0.0058,0.0079,0.0101,0.0025,0.0219,0.0059,0.0085,0.0087,0.0067,0.0056,0.0110,0.0066,0.0095,0.0078,0.0018,0.0087,0.0075,0.0112,0.0079,0.0094,0.0189,0.0097,0.0197,0.0126
9,0.0064,0.0090,0.0114,0.0029,0.0257,0.0067,0.0093,0.0101,0.0081,0.0065,0.0127,0.0078,0.0112,0.0091,0.0019,0.0102,0.0090,0.0128,0.0091,0.0111,0.0214,0.0115,0.0232,0.0150
10,0.0069,0.0102,0.0126,0.0032,0.0299,0.0076,0.0101,0.0115,0.0094,0.0075,0.0144,0.0091,0.0130,0.0105,0.0021,0.0117,0.0104,0.0146,0.0103,0.0130,0.0238,0.0134,0.0270,0.0175
11,0.0075,0.0113,0.0139,0.0036,0.0341,0.0085,0.0109,0.0131,0.0108,0.0085,0.0159,0.0098,0.0149,0.0120,0.0023,0.0133,0.0120,0.0164,0.0114,0.0150,0.0263,0.0153,0.0309,0.0200
12,0.0081,0.0125,0.0152,0.0039,0.0384,0.0095,0.0116,0.0146,0.0121,0.0095,0.0173,0.0107,0.0167,0.0135,0.0025,0.0149,0.0135,0.0182,0.0124,0.0170,0.0287,0.0172,0.0349,0.0225
13,0.0086,0.0134,0.0165,0.0043,0.0427,0.0104,0.0123,0.0162,0.0134,0.0105,0.0188,0.0117,0.0186,0.0150,0.0028,0.0164,0.0150,0.0199,0.0134,0.0191,0.0310,0.0191,0.0390,0.0250
14,0.0091,0.0144,0.0177,0.0046,0.0469,0.0113,0.0130,0.0177,0.0147,0.0114,0.0203,0.0128,0.0205,0.0165,0.0030,0.0180,0.0165,0.0217,0.0144,0.0211,0.0333,0.0210,0.0430,0.0274
15,0.0096,0.0154,0.0189,0.0049,0.0511,0.0122,0.0136,0.0193,0.0159,0.0124,0.0219,0.0139,0.0224,0.0180,0.0033,0.0195,0.0179,0.0234,0.0153,0.0232,0.0355,0.0229,0.0470,0.0298
16,0.0101,0.0165,0.0201,0.0053,0.0553,0.0130,0.0142,0.0210,0.0171,0.0133,0.0235,0.0150,0.0242,0.0195,0.0033,0.0210,0.0193,0.0251,0.0161,0.0252,0.0376,0.0248,0.0509,0.0315
17,0.0105,0.0176,0.0212,0.0056,0.0593,0.0138,0.0147,0.0226,0.0182,0.0142,0.0251,0.0162,0.0260,0.0210,0.0034,0.0225,0.0207,0.0267,0.0169,0.0277,0.0396,0.0266,0.0548,0.0331
18,0.0110,0.0187,0.0223,0.0059,0.0633,0.0146,0.0152,0.0243,0.0192,0.0151,0.0266,0.0173,0.0277,0.0225,0.0037,0.0235,0.0220,0.0283,0.0176,0.0303,0.0415,0.0284,0.0585,0.0347
19,0.0114,0.0198,0.0233,0.0062,0.0671,0.0154,0.0157,0.0259,0.0202,0.0160,0.0281,0.0185,0.0294,0.0239,0.0041,0.0245,0.0232,0.0298,0.0183,0.0330,0.0431,0.0301,0.0621,0.0363
20,0.0117,0.0209,0.0243,0.0064,0.0709,0.0162,0.0161,0.0275,0.0212,0.0168,0.0295,0.0196,0.0310,0.0254,0.0046,0.0255,0.0244,0.0308,0.0189,0.0357,0.0447,0.0318,0.0656,0.0378
21,0.0121,0.0220,0.0252,0.0067,0.0745,0.0169,0.0165,0.0291,0.0221,0.0176,0.0309,0.0197,0.0326,0.0268,0.0052,0.0264,0.0255,0.0318,0.0195,0.0385,0.0461,0.0334,0.0690,0.0393
22,0.0124,0.0230,0.0261,0.0070,0.0779,0.0175,0.0169,0.0307,0.0229,0.0183,0.0323,0.0199,0.0341,0.0281,0.0059,0.0273,0.0266,0.0328,0.0200,0.0412,0.0475,0.0350,0.0722,0.0407
23,0.0127,0.0241,0.0270,0.0072,0.0813,0.0182,0.0172,0.0322,0.0237,0.0191,0.0335,0.0201,0.0356,0.0294,0.0066,0.0282,0.0276,0.0337,0.0205,0.0439,0.0488,0.0365,0.0753,0.0421
24,0.0130,0.0251,0.0278,0.0074,0.0845,0.0188,0.0175,0.0337,0.0244,0.0198,0.0347,0.0204,0.0370,0.0307,0.0074,0.0291,0.0286,0.0346,0.0210,0.0465,0.0495,0.0380,0.0782,0.0433
25,0.0133,0.0261,0.0286,0.0076,0.0875,0.0193,0.0178,0.0352,0.0251,0.0204,0.0358,0.0207,0.0383,0.0320,0.0082,0.0299,0.0295,0.0355,0.0214,0.0491,0.0502,0.0394,0.0810,0.0446
26,0.0135,0.0270,0.0293,0.0078,0.0905,0.0199,0.0181,0.0366,0.0257,0.0211,0.0369,0.0211,0.0396,0.0332,0.0089,0.0308,0.0304,0.0364,0.0218,0.0517,0.0509,0.0408,0.0836,0.0457
27,0.0137,0.0280,0.0300,0.0080,0.0933,0.0204,0.0183,0.0380,0.0263,0.0217,0.0378,0.0214,0.0408,0.0343,0.0097,0.0316,0.0312,0.0372,0.0221,0.0541,0.0515,0.0421,0.0861,0.0468
28,0.0139,0.0288,0.0307,0.0082,0.0960,0.0208,0.0185,0.0393,0.0268,0.0223,0.0388,0.0217,0.0420,0.0355,0.0105,0.0323,0.0320,0.0379,0.0224,0.0566,0.0521,0.0433,0.0885,0.0478
29,0.0141,0.0297,0.0313,0.0084,0.0985,0.0213,0.0187,0.0406,0.0274,0.0228,0.0396,0.0221,0.0431,0.0365,0.0113,0.0331,0.0327,0.0387,0.0227,0.0589,0.0526,0.0445,0.0908,0.0488
30,0.0142,0.0305,0.0319,0.0085,0.1009,0.0217,0.0189,0.0419,0.0278,0.0234,0.0404,0.0225,0.0442,0.0376,0.0120,0.0338,0.0334,0.0393,0.0230,0.0612,0.0531,0.0456,0.0929,0.0497
31,0.0144,0.0312,0.0324,0.0087,0.1027,0.0221,0.0190,0.0431,0.0283,0.0239,0.0411,0.0229,0.0452,0.0386,0.0127,0.0344,0.0341,0.0400,0.0232,0.0634,0.0536,0.0467,0.0949,0.0506
32,0.0145,0.0319,0.0329,0.0088,0.1040,0.0225,0.0192,0.0442,0.0287,0.0244,0.0418,0.0233,0.0461,0.0396,0.0134,0.0351,0.0347,0.0406,0.0235,0.0655,0.0540,0.0478,0.0969,0.0514
33,0.0146,0.0326,0.0334,0.0089,0.1053,0.0228,0.0193,0.0454,0.0291,0.0248,0.0424,0.0237,0.0471,0.0405,0.0141,0.0357,0.0353,0.0412,0.0237,0.0676,0.0544,0.0488,0.0987,0.0522
34,0.0147,0.0332,0.0339,0.0091,0.1065,0.0231,0.0194,0.0464,0.0294,0.0253,0.0430,0.0232,0.0479,0.0414,0.0147,0.0363,0.0358,0.0417,0.0239,0.0696,0.0547,0.0497,0.1003,0.0529
35,0.0148,0.0338,0.0343,0.0092,0.1077,0.0234,0.0195,0.0475,0.0297,0.0257,0.0435,0.0229,0.0488,0.0422,0.0153,0.0369,0.0363,0.0422,0.0241,0.0715,0.0551,0.0506,0.1019,0.0535
36,0.0149,0.0344,0.0347,0.0093,0.1089,0.0237,0.0196,0.0484,0.0300,0.0261,0.0440,0.0227,0.0496,0.0431,0.0159,0.0375,0.0368,0.0427,0.0242,0.0733,0.0553,0.0515,0.1034,0.0542
37,0.0149,0.0349,0.0350,0.0094,0.1100,0.0240,0.0197,0.0494,0.0303,0.0265,0.0444,0.0226,0.0503,0.0439,0.0164,0.0381,0.0373,0.0432,0.0244,0.0751,0.0556,0.0523,0.1049,0.0547
38,0.0150,0.0354,0.0354,0.0095,0.1110,0.0242,0.0198,0.0503,0.0306,0.0268,0.0448,0.0225,0.0510,0.0446,0.0170,0.0386,0.0377,0.0436,0.0246,0.0768,0.0558,0.0531,0.1062,0.0553
39,0.0150,0.0358,0.0357,0.0096,0.1120,0.0244,0.0199,0.0511,0.0308,0.0272,0.0452,0.0225,0.0517,0.0453,0.0175,0.0391,0.0381,0.0440,0.0247,0.0784,0.0560,0.0538,0.1074,0.0558
40,0.0151,0.0362,0.0360,0.0097,0.1129,0.0246,0.0199,0.0520,0.0310,0.0275,0.0455,0.0225,0.0523,0.0460,0.0179,0.0396,0.0385,0.0444,0.0248,0.0800,0.0562,0.0546,0.1086,0.0563
41,0.0151,0.0366,0.0363,0.0098,0.1138,0.0248,0.0200,0.0528,0.0312,0.0278,0.0458,0.0226,0.0529,0.0467,0.0183,0.0401,0.0389,0.0447,0.0249,0.0815,0.0563,0.0552,0.1097,0.0567
42,0.0151,0.0370,0.0366,0.0099,0.1143,0.0250,0.0200,0.0535,0.0314,0.0281,0.0460,0.0222,0.0535,0.0473,0.0188,0.0405,0.0392,0.0451,0.0250,0.0829,0.0565,0.0559,0.1108,0.0571
43,0.0152,0.0373,0.0368,0.0099,0.1148,0.0251,0.0201,0.0542,0.0316,0.0284,0.0462,0.0219,0.0541,0.0479,0.0191,0.0410,0.0395,0.0454,0.0252,0.0843,0.0566,0.0565,0.1117,0.0575
44,0.0152,0.0377,0.0370,0.0100,0.1153,0.0253,0.0201,0.0549,0.0318,0.0286,0.0464,0.0216,0.0546,0.0485,0.0195,0.0409,0.0398,0.0457,0.0252,0.0856,0.0567,0.0571,0.1127,0.0579
45,0.0152,0.0380,0.0372,0.0101,0.1157,0.0254,0.0202,0.0556,0.0319,0.0289,0.0466,0.0214,0.0551,0.0491,0.0198,0.0408,0.0401,0.0459,0.0253,0.0868,0.0568,0.0576,0.1135,0.0582
46,0.0152,0.0382,0.0374,0.0101,0.1161,0.0255,0.0202,0.0562,0.0320,0.0291,0.0468,0.0213,0.0555,0.0496,0.0201,0.0408,0.0404,0.0462,0.0254,0.0880,0.0568,0.0582,0.1143,0.0585
47,0.0152,0.0385,0.0376,0.0102,0.1165,0.0257,0.0202,0.0568,0.0322,0.0294,0.0469,0.0211,0.0560,0.0501,0.0204,0.0408,0.0407,0.0464,0.0255,0.0892,0.0548,0.0587,0.1151,0.0588
48,0.0152,0.0387,0.0378,0.0103,0.1169,0.0258,0.0203,0.0574,0.0323,0.0296,0.0470,0.0210,0.0564,0.0506,0.0207,0.0408,0.0409,0.0467,0.0256,0.0903,0.0530,0.0591,0.1158,0.0591
49,0.0152,0.0389,0.0379,0.0103,0.1173,0.0259,0.0203,0.0579,0.0324,0.0298,0.0471,0.0209,0.0568,0.0510,0.0209,0.0408,0.0411,0.0469,0.0256,0.0913,0.0515,0.0596,0.1165,0.0593
50,0.0152,0.0391,0.0381,0.0104,0.1176,0.0259,0.0203,0.0585,0.0325,0.0300,0.0472,0.0209,0.0572,0.0515,0.0212,0.0409,0.0414,0.0471,0.0257,0.0923,0.0501,0.0600,0.1171,0.0596
51,0.0152,0.0393,0.0382,0.0105,0.1179,0.0260,0.0203,0.0590,0.0326,0.0302,0.0472,0.0208,0.0575,0.0519,0.0214,0.0409,0.0416,0.0473,0.0258,0.0933,0.0489,0.0604,0.1177,0.0598
52,0.0152,0.0395,0.0383,0.0105,0.1172,0.0261,0.0204,0.0594,0.0327,0.0303,0.0473,0.0208,0.0579,0.0523,0.0216,0.0410,0.0418,0.0461,0.0258,0.0942,0.0479,0.0608,0.1182,0.0600
53,0.0152,0.0397,0.0384,0.0106,0.1167,0.0262,0.0204,0.0599,0.0327,0.0305,0.0473,0.0207,0.0582,0.0527,0.0218,0.0411,0.0420,0.0451,0.0259,0.0950,0.0468,0.0612,0.1188,0.0602
54,0.0151,0.0398,0.0385,0.0106,0.1157,0.0262,0.0204,0.0603,0.0328,0.0307,0.0473,0.0207,0.0585,0.0530,0.0219,0.0411,0.0422,0.0442,0.0259,0.0959,0.0458,0.0615,0.1192,0.0604
55,0.0151,0.0399,0.0386,0.0107,0.1149,0.0263,0.0204,0.0608,0.0329,0.0308,0.0473,0.0207,0.0588,0.0534,0.0221,0.0412,0.0423,0.0433,0.0260,0.0967,0.0450,0.0619,0.1197,0.0605
56,0.0151,0.0401,0.0387,0.0107,0.1135,0.0263,0.0204,0.0612,0.0329,0.0310,0.0473,0.0206,0.0590,0.0537,0.0222,0.0413,0.0425,0.0426,0.0260,0.0974,0.0443,0.0622,0.1201,0.0607
57,0.0151,0.0402,0.0388,0.0108,0.1123,0.0263,0.0204,0.0615,0.0330,0.0311,0.0473,0.0206,0.0593,0.0540,0.0223,0.0415,0.0427,0.0419,0.0260,0.0981,0.0438,0.0625,0.1205,0.0608
58,0.0151,0.0403,0.0388,0.0108,0.1113,0.0264,0.0204,0.0619,0.0330,0.0312,0.0473,0.0206,0.0596,0.0543,0.0225,0.0416,0.0428,0.0412,0.0261,0.0988,0.0433,0.0628,0.1209,0.0610
59,0.0150,0.0404,0.0389,0.0109,0.1104,0.0264,0.0205,0.0623,0.0331,0.0313,0.0473,0.0206,0.0598,0.0546,0.0226,0.0417,0.0430,0.0406,0.0261,0.0995,0.0429,0.0630,0.1212,0.0611
60,0.0150,0.0405,0.0390,0.0110,0.1096,0.0264,0.0205,0.0626,0.0331,0.0315,0.0472,0.0206,0.0600,0.0549,0.0226,0.0418,0.0431,0.0401,0.0262,0.1001,0.0425,0.0633,0.1216,0.0612
61,0.0150,0.0405,0.0390,0.0110,0.1089,0.0265,0.0205,0.0626,0.0332,0.0316,0.0472,0.0206,0.0602,0.0551,0.0227,0.0419,0.0433,0.0396,0.0262,0.1007,0.0423,0.0635,0.1219,0.0613
62,0.0150,0.0406,0.0391,0.0111,0.1083,0.0265,0.0205,0.0626,0.0332,0.0317,0.0472,0.0205,0.0604,0.0554,0.0228,0.0420,0.0434,0.0392,0.0262,0.1013,0.0421,0.0638,0.1222,0.0614
63,0.0149,0.0407,0.0391,0.0111,0.1078,0.0265,0.0205,0.0622,0.0332,0.0318,0.0471,0.0205,0.0606,0.0556,0.0229,0.0422,0.0435,0.0388,0.0262,0.1018,0.0419,0.0640,0.1224,0.0615
64,0.0149,0.0407,0.0391,0.0112,0.1073,0.0265,0.0205,0.0619,0.0333,0.0319,0.0471,0.0205,0.0608,0.0558,0.0229,0.0423,0.0436,0.0384,0.0263,0.1023,0.0417,0.0642,0.1227,0.0616
65,0.0149,0.0408,0.0392,0.0112,0.1063,0.0265,0.0205,0.0616,0.0333,0.0320,0.0470,0.0205,0.0610,0.0560,0.0230,0.0424,0.0438,0.0380,0.0263,0.1028,0.0416,0.0644,0.1229,0.0617
66,0.0149,0.0408,0.0392,0.0113,0.1054,0.0265,0.0205,0.0614,0.0333,0.0320,0.0470,0.0205,0.0611,0.0562,0.0230,0.0425,0.0439,0.0377,0.0263,0.1033,0.0416,0.0646,0.1231,0.0618
67,0.0149,0.0409,0.0392,0.0113,0.1045,0.0265,0.0205,0.0611,0.0334,0.0321,0.0469,0.0205,0.0613,0.0564,0.0231,0.0427,0.0440,0.0374,0.0263,0.1037,0.0415,0.0648,0.1233,0.0618
68,0.0148,0.0409,0.0392,0.0114,0.1038,0.0265,0.0205,0.0609,0.0334,0.0322,0.0468,0.0204,0.0614,0.0566,0.0231,0.0428,0.0441,0.0371,0.0263,0.1042,0.0415,0.0649,0.1235,0.0619
69,0.0148,0.0410,0.0392,0.0115,0.1031,0.0265,0.0205,0.0607,0.0334,0.0323,0.0468,0.0204,0.0616,0.0568,0.0231,0.0429,0.0442,0.0369,0.0263,0.1046,0.0415,0.0651,0.1237,0.0620
70,0.0148,0.0410,0.0393,0.0115,0.1025,0.0265,0.0205,0.0606,0.0334,0.0323,0.0467,0.0204,0.0617,0.0569,0.0232,0.0430,0.0443,0.0367,0.0264,0.1050,0.0415,0.0652,0.1239,0.0620
71,0.0148,0.0410,0.0393,0.0116,0.1019,0.0265,0.0205,0.0605,0.0334,0.0324,0.0466,0.0204,0.0618,0.0571,0.0232,0.0432,0.0444,0.0365,0.0264,0.1053,0.0415,0.0654,0.1240,0.0621
72,0.0147,0.0411,0.0393,0.0116,0.1014,0.0265,0.0205,0.0603,0.0335,0.0325,0.0466,0.0204,0.0620,0.0572,0.0232,0.0433,0.0445,0.0363,0.0264,0.1057,0.0415,0.0655,0.1242,0.0621
73,0.0147,0.0411,0.0393,0.0117,0.1009,0.0265,0.0205,0.0602,0.0335,0.0325,0.0465,0.0203,0.0621,0.0574,0.0232,0.0434,0.0446,0.0361,0.0264,0.1060,0.0415,0.0656,0.1243,0.0622
74,0.0147,0.0411,0.0393,0.0118,0.1005,0.0265,0.0205,0.0602,0.0335,0.0326,0.0464,0.0203,0.0622,0.0575,0.0232,0.0435,0.0447,0.0359,0.0264,0.1063,0.0415,0.0658,0.1244,0.0622
75,0.0147,0.0411,0.0393,0.0118,0.1001,0.0265,0.0205,0.0601,0.0335,0.0326,0.0463,0.0203,0.0623,0.0576,0.0232,0.0436,0.0447,0.0357,0.0264,0.1066,0.0415,0.0659,0.1246,0.0623
76,0.0146,0.0411,0.0393,0.0119,0.0997,0.0265,0.0205,0.0600,0.0335,0.0327,0.0463,0.0203,0.0624,0.0577,0.0232,0.0438,0.0448,0.0356,0.0264,0.1069,0.0416,0.0660,0.1247,0.0623
77,0.0146,0.0412,0.0393,0.0119,0.0994,0.0265,0.0205,0.0600,0.0335,0.0327,0.0462,0.0202,0.0625,0.0579,0.0232,0.0439,0.0449,0.0355,0.0264,0.1072,0.0416,0.0661,0.1248,0.0623
78,0.0146,0.0412,0.0393,0.0120,0.0991,0.0264,0.0205,0.0599,0.0335,0.0328,0.0461,0.0202,0.0626,0.0580,0.0232,0.0440,0.0450,0.0353,0.0264,0.1075,0.0416,0.0662,0.1249,0.0624
79,0.0146,0.0412,0.0393,0.0121,0.0988,0.0264,0.0205,0.0599,0.0335,0.0328,0.0460,0.0202,0.0627,0.0581,0.0232,0.0441,0.0451,0.0352,0.0264,0.1077,0.0417,0.0663,0.1250,0.0624
80,0.0146,0.0412,0.0392,0.0121,0.0985,0.0264,0.0205,0.0599,0.0336,0.0329,0.0460,0.0202,0.0628,0.0582,0.0232,0.0442,0.0451,0.0351,0.0264,0.1080,0.0417,0.0664,0.1250,0.0624
81,0.0145,0.0412,0.0392,0.0122,0.0983,0.0264,0.0205,0.0598,0.0336,0.0329,0.0459,0.0201,0.0628,0.0583,0.0232,0.0443,0.0452,0.0350,0.0264,0.1082,0.0418,0.0665,0.1251,0.0625
82,0.0145,0.0412,0.0392,0.0123,0.0980,0.0264,0.0205,0.0598,0.0336,0.0330,0.0458,0.0201,0.0629,0.0584,0.0232,0.0445,0.0453,0.0349,0.0264,0.1084,0.0418,0.0665,0.1252,0.0625
83,0.0145,0.0412,0.0392,0.0123,0.0978,0.0264,0.0205,0.0598,0.0336,0.0330,0.0457,0.0201,0.0630,0.0584,0.0232,0.0446,0.0453,0.0349,0.0264,0.1087,0.0418,0.0666,0.1253,0.0625
84,0.0145,0.0412,0.0392,0.0124,0.0976,0.0263,0.0205,0.0598,0.0336,0.0330,0.0456,0.0201,0.0631,0.0585,0.0232,0.0447,0.0454,0.0348,0.0264,0.1089,0.0419,0.0667,0.1253,0.0626
85,0.0145,0.0412,0.0392,0.0125,0.0974,0.0263,0.0205,0.0598,0.0336,0.0331,0.0456,0.0201,0.0631,0.0586,0.0232,0.0448,0.0455,0.0347,0.0264,0.1090,0.0419,0.0668,0.1254,0.0626
86,0.0144,0.0412,0.0392,0.0125,0.0972,0.0263,0.0205,0.0598,0.0336,0.0331,0.0455,0.0200,0.0632,0.0587,0.0232,0.0449,0.0455,0.0346,0.0264,0.1092,0.0419,0.0668,0.1255,0.0626
87,0.0144,0.0412,0.0392,0.0126,0.0970,0.0263,0.0205,0.0598,0.0336,0.0331,0.0454,0.0200,0.0633,0.0587,0.0231,0.0450,0.0456,0.0346,0.0264,0.1094,0.0420,0.0669,0.1255,0.0626
88,0.0144,0.0412,0.0392,0.0127,0.0968,0.0263,0.0205,0.0598,0.0336,0.0331,0.0454,0.0200,0.0633,0.0588,0.0231,0.0451,0.0456,0.0345,0.0264,0.1096,0.0420,0.0670,0.1256,0.0626
89,0.0144,0.0412,0.0391,0.0127,0.0967,0.0262,0.0205,0.0598,0.0336,0.0332,0.0453,0.0200,0.0634,0.0589,0.0231,0.0452,0.0457,0.0345,0.0264,0.1097,0.0421,0.0670,0.1256,0.0627
90,0.0144,0.0412,0.0391,0.0128,0.0955,0.0262,0.0205,0.0598,0.0336,0.0332,0.0452,0.0199,0.0634,0.0589,0.0231,0.0453,0.0457,0.0344,0.0264,0.1099,0.0421,0.0671,0.1257,0.0627
91,0.0144,0.0412,0.0391,0.0129,0.0945,0.0262,0.0205,0.0598,0.0336,0.0332,0.0451,0.0199,0.0635,0.0590,0.0231,0.0454,0.0458,0.0344,0.0264,0.1100,0.0421,0.0671,0.1257,0.0627
92,0.0143,0.0412,0.0391,0.0130,0.0936,0.0262,0.0205,0.0598,0.0336,0.0332,0.0451,0.0199,0.0635,0.0590,0.0230,0.0455,0.0458,0.0343,0.0264,0.1102,0.0421,0.0672,0.1257,0.0627
93,0.0143,0.0412,0.0391,0.0130,0.0927,0.0262,0.0205,0.0599,0.0336,0.0333,0.0450,0.0199,0.0636,0.0591,0.0230,0.0456,0.0459,0.0343,0.0264,0.1103,0.0422,0.0672,0.1258,0.0627
94,0.0143,0.0412,0.0391,0.0131,0.0919,0.0261,0.0205,0.0599,0.0336,0.0333,0.0449,0.0199,0.0636,0.0591,0.0230,0.0456,0.0459,0.0342,0.0264,0.1104,0.0422,0.0672,0.1258,0.0627
95,0.0143,0.0412,0.0390,0.0132,0.0912,0.0261,0.0205,0.0599,0.0336,0.0333,0.0449,0.0198,0.0637,0.0592,0.0230,0.0457,0.0460,0.0342,0.0263,0.1106,0.0422,0.0673,0.1258,0.0628
96,0.0143,0.0412,0.0390,0.0132,0.0906,0.0261,0.0205,0.0599,0.0336,0.0333,0.0448,0.0198,0.0637,0.0592,0.0230,0.0458,0.0460,0.0342,0.0263,0.1107,0.0422,0.0673,0.1259,0.0628
97,0.0143,0.0412,0.0390,0.0133,0.0900,0.0261,0.0205,0.0599,0.0336,0.0333,0.0447,0.0198,0.0637,0.0593,0.0229,0.0459,0.0461,0.0341,0.0263,0.1108,0.0423,0.0674,0.1259,0.0628
98,0.0143,0.0412,0.0390,0.0134,0.0874,0.0261,0.0205,0.0599,0.0336,0.0333,0.0447,0.0198,0.0638,0.0593,0.0229,0.0460,0.0461,0.0341,0.0263,0.1109,0.0423,0.0674,0.1259,0.0628
